suburb,postcode,state,state_code
The Ponds,2769,New South Wales,NSW
Mount Druitt,2770,New South Wales,NSW
Glenbrook,2773,New South Wales,NSW
Warrimoo,2774,New South Wales,NSW
Laughtondale,2775,New South Wales,NSW
Faulconbridge,2776,New South Wales,NSW
Springwood (NSW),2777,New South Wales,NSW
Linden (NSW),2778,New South Wales,NSW
Hazelbrook,2779,New South Wales,NSW
Katoomba,2780,New South Wales,NSW
Wentworth Falls,2782,New South Wales,NSW
Lawson (NSW),2783,New South Wales,NSW
Bullaburra,2784,New South Wales,NSW
Blackheath,2785,New South Wales,NSW
Mount Victoria,2786,New South Wales,NSW
Oberon,2787,New South Wales,NSW
Blackmans Flat,2790,New South Wales,NSW
Carcoar,2791,New South Wales,NSW
Mandurama,2792,New South Wales,NSW
Woodstock (Cowra - NSW),2793,New South Wales,NSW
Bumbaldry,2794,New South Wales,NSW
Kelso (NSW),2795,New South Wales,NSW
Lyndhurst (Blayney - NSW),2797,New South Wales,NSW
Millthorpe,2798,New South Wales,NSW
Neville,2799,New South Wales,NSW
Lucknow (NSW),2800,New South Wales,NSW
Bendick Murrell,2803,New South Wales,NSW
Canowindra,2804,New South Wales,NSW
Gooloogong,2805,New South Wales,NSW
Eugowra,2806,New South Wales,NSW
Koorawatha,2807,New South Wales,NSW
Wyangala,2808,New South Wales,NSW
Greenethorpe,2809,New South Wales,NSW
Grenfell,2810,New South Wales,NSW
Tooraweenah,2817,New South Wales,NSW
Benolong,2818,New South Wales,NSW
Montefiores,2820,New South Wales,NSW
Narromine,2821,New South Wales,NSW
Eumungerie,2822,New South Wales,NSW
Trangie,2823,New South Wales,NSW
Warren,2824,New South Wales,NSW
Nyngan,2825,New South Wales,NSW
Nevertire,2826,New South Wales,NSW
Merrigal,2827,New South Wales,NSW
Gulargambone,2828,New South Wales,NSW
Coonamble,2829,New South Wales,NSW
Dubbo,2830,New South Wales,NSW
The Marra,2831,New South Wales,NSW
Walgett,2832,New South Wales,NSW
Collarenebri,2833,New South Wales,NSW
Lightning Ridge,2834,New South Wales,NSW
Sandy Creek (Cobar - NSW),2835,New South Wales,NSW
Wilcannia,2836,New South Wales,NSW
Goodooga,2838,New South Wales,NSW
Weilmoringle,2839,New South Wales,NSW
Tilpa,2840,New South Wales,NSW
Mendooran,2842,New South Wales,NSW
